measurement,ms
recognized_background_copy,1.4753
recognized_merge_freehand,0.4230
addImage_index_update,0.0000
addImage_img_copy,1.2460
saveValue_mkpath,0.0097
serialize_image,3.5335
saveImageToFile_total,4.8223
saveValue_saveImageToFile,4.8329
saveValue_removeHistory,0.0002
Storage_addImage_total,4.8697
addImage_saveValue,4.8783
addImage_updateGui,0.7892
recognized_add_freehand_history,7.2430
recognized_clear_stroke,0.4451
recognized_draw_ideal_shape,0.0652
release_pixmap_to_image AND release_background_applyImage,0.5172
release_image_to_pixmap,0.0048
release_background_clear,0.5966
release_geo_clearAll,0.0042
addImage_index_update,0.0000
addImage_img_copy,0.5698
saveValue_mkpath,0.0093
serialize_image,3.4598
saveImageToFile_total,4.7272
saveValue_saveImageToFile,4.7374
saveValue_removeHistory,0.0001
Storage_addImage_total,4.7727
addImage_saveValue,4.7814
addImage_updateGui,0.6803
release_event_total,17.4283
stroke_recognition_total,0.1125
release_cursor_clear,0.0182
release_pixmap_to_image AND release_background_applyImage,0.3385
release_image_to_pixmap,0.0034
release_background_clear,0.7497
release_geo_clearAll,0.0021
addImage_index_update,0.0001
addImage_img_copy,1.4236
saveValue_mkpath,0.0089
serialize_image,3.4708
saveImageToFile_total,4.8326
saveValue_saveImageToFile,4.8496
saveValue_removeHistory,0.0001
Storage_addImage_total,4.9034
addImage_saveValue,4.9175
addImage_updateGui,0.8283
release_event_total,8.8255
stroke_recognition_total,0.1367
release_cursor_clear,0.0206
recognized_background_copy,1.3513
recognized_merge_freehand,0.3411
addImage_index_update,0.0000
addImage_img_copy,1.2028
saveValue_mkpath,0.0093
serialize_image,3.4414
saveImageToFile_total,4.7555
saveValue_saveImageToFile,4.7660
saveValue_removeHistory,0.0001
Storage_addImage_total,4.8020
addImage_saveValue,4.8104
addImage_updateGui,0.6714
recognized_add_freehand_history,6.8887
recognized_clear_stroke,0.3921
recognized_draw_ideal_shape,0.0459
release_pixmap_to_image AND release_background_applyImage,0.3649
release_image_to_pixmap,0.0041
release_background_clear,0.7024
release_geo_clearAll,0.0036
addImage_index_update,0.0000
addImage_img_copy,0.4735
saveValue_mkpath,0.0108
serialize_image,3.3153
saveImageToFile_total,4.5602
saveValue_saveImageToFile,4.5704
saveValue_removeHistory,0.0001
Storage_addImage_total,4.6077
addImage_saveValue,4.6162
addImage_updateGui,0.6981
release_event_total,16.4941
stroke_recognition_total,0.2245
release_cursor_clear,0.0261
recognized_background_copy,1.1308
recognized_merge_freehand,0.2721
addImage_index_update,0.0000
addImage_img_copy,1.1113
saveValue_mkpath,0.0105
serialize_image,3.3969
saveImageToFile_total,4.5220
saveValue_saveImageToFile,4.5324
saveValue_removeHistory,0.0001
Storage_addImage_total,4.5697
addImage_saveValue,4.5780
addImage_updateGui,0.6948
recognized_add_freehand_history,6.6183
recognized_clear_stroke,0.4103
recognized_draw_ideal_shape,0.0351
release_pixmap_to_image AND release_background_applyImage,0.2082
release_image_to_pixmap,0.0032
release_background_clear,0.5447
release_geo_clearAll,0.0033
addImage_index_update,0.0000
addImage_img_copy,0.4179
saveValue_mkpath,0.0081
serialize_image,3.3619
